timestamp,equipment_id,actual_energy,expected_energy,deviation_pct,residual,anomaly_score,severity,persistent,consecutive_abnormal_readings,trend,cooling_water_temp,chilled_water_flow,building_load,outside_temp
2026-01-15 08:00:00,CHILLER-02,81.2,80.5,0.87,0.7,0.05,NORMAL,False,0,STABLE,26.0,85.2,448.0,81.0
2026-01-15 08:30:00,CHILLER-02,81.8,81.0,0.99,0.8,0.08,NORMAL,False,0,STABLE,26.1,85.0,449.5,81.2
2026-01-15 09:00:00,CHILLER-02,82.0,81.5,0.61,0.5,0.06,NORMAL,False,0,STABLE,26.0,85.1,450.0,81.5
2026-01-15 09:30:00,CHILLER-02,82.4,81.8,0.73,0.6,0.09,NORMAL,False,0,STABLE,26.0,85.0,450.2,81.8
2026-01-15 10:00:00,CHILLER-02,90.5,82.0,10.37,8.5,0.42,WATCH,False,1,INCREASING,26.8,84.2,451.0,82.0
2026-01-15 10:30:00,CHILLER-02,92.1,82.1,12.18,10.0,0.48,WATCH,False,2,INCREASING,27.1,83.5,451.5,82.1
2026-01-15 11:00:00,CHILLER-02,96.4,82.2,17.27,14.2,0.68,INVESTIGATE,True,3,INCREASING,27.5,82.1,452.0,82.3
2026-01-15 11:30:00,CHILLER-02,99.8,82.3,21.26,17.5,0.79,INVESTIGATE,True,4,INCREASING,27.8,81.4,452.8,82.5
2026-01-15 12:00:00,CHILLER-02,102.1,82.3,24.06,19.8,0.86,INVESTIGATE,True,5,INCREASING,28.0,81.0,453.2,82.7
2026-01-15 12:30:00,CHILLER-02,103.7,82.4,25.85,21.3,0.91,INVESTIGATE,True,6,INCREASING,28.1,80.8,453.6,82.9
2026-01-15 13:00:00,CHILLER-02,105.0,82.4,27.43,22.6,0.94,INVESTIGATE,True,7,INCREASING,28.2,80.5,454.0,83.0
2026-01-15 13:30:00,CHILLER-02,91.0,82.5,10.30,8.5,0.41,WATCH,False,0,DECREASING,27.0,84.0,451.0,82.2
2026-01-15 14:00:00,CHILLER-02,83.1,82.3,0.97,0.8,0.08,NORMAL,False,0,STABLE,26.2,85.0,449.0,81.58
